Number of message created : 7768
G27 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G28 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G29 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G30 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G31 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G32 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G33 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G34 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G35 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G36 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G37 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G38 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G39 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G40 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G41 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G42 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G43 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G44 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
G45 : {G0=175000.0, G1=50000.0, G10=20000.0, G11=135000.0, G13=110000.0, G15=180000.0, G16=190000.0, G18=155000.0, G19=165000.0, G20=195000.0, G21=145000.0, G23=100000.0, G25=75000.0, G27=5000.0, G29=160000.0, G3=170000.0, G30=115000.0, G31=30000.0, G37=120000.0, G38=10000.0, G39=125000.0, G4=105000.0, G41=150000.0, G43=90000.0, G48=130000.0, G8=65000.0, G9=185000.0}
